CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"9179","ENVS 535","1","Ornithology","4","","Lec","MWF","1100-1150","FORBES 2043","Sherwin, Rick","2","Open",
"9180","ENVS 535L","1","Ornithology Laboratory","0","","Lab","W","1300-1650","FORBES 2043","Sherwin, Rick","2","Open",
"9181","ENVS 555","1","GIS and Spatial Analysis Techn","4","","Lec","TR","0930-1045","FORBES 2051","Whiting, Gary","3","Open",
"9182","ENVS 555L","1","GIS and Spatial Analysis Techn","0","","Lab","T","1330-1720","FORBES 2051","Whiting, Gary","3","Open",
"9183","ENVS 699","1","Thesis Research","1 - 6","","Ind","","","ARR ","Steven, Janet","9","Open",
"9278","ENVS 699","2","Thesis Research","1 - 6","","Ind","","","ARR ","Steven, Janet","0","Closed",
"9296","EUPH 132","1","Applied Music: Euphonium","1","","Lab","","","ARR ","Cipriano, James","0","Closed",
"9351","EUPH 232","1","Applied Music: Euphonium","1","","Lab","","","ARR ","Cipriano, James","0","Closed",
"8462","EVST 220","1","Intro to Environmental Studies","3","","Lec","MWF","1000-1050","MCM 112","Allison, James","0","Closed",
"8820","FINC 210","1","Personal Finance","3","","Lec","MW","1600-1715","FORBES 3014","Le Mons, Kathleen","1","Open",
"8821","FINC 210","2","Personal Finance","3","","Lec","MW","1800-1915","FORBES 3014","Le Mons, Kathleen","0","Closed",
"8822","FINC 300","1","Managerial Finance","3","","Lec","MW","1800-1915","LUTR 264","Guha, Sanjib","2","Open",
"8823","FINC 300","2","Managerial Finance","3","","Lec","MW","1930-2045","LUTR 264","Guha, Sanjib","4","Open",
"9279","FINC 300","3","Managerial Finance","3","","Lec","TR","1800-1915","FORBES 2014","DiPersio, David","13","Open",
"8824","FINC 324","1","Principles of Investment","3","","Lec","MWF","0900-0950","LUTR 123","Mella-Barahona, Javier","0","Closed",
"8825","FINC 324","2","Principles of Investment","3","","Lec","MWF","1200-1250","LUTR 123","Mella-Barahona, Javier","0","Closed",
"8826","FINC 325","1","Mgmt of Financial Institutions","3","","Lec","TR","1630-1745","LUTR 123","Guha, Sanjib","0","Closed",
"8827","FINC 325","2","Mgmt of Financial Institutions","3","","Lec","TR","1800-1915","LUTR 123","Guha, Sanjib","2","Open",
"8829","FINC 424","1","Portfolio Management","3","","Lec","MWF","1400-1450","LUTR 123","Mella-Barahona, Javier","0","Closed",
"8831","FINC 425","1","Risk Management","3","","Lec","MWF","1100-1150","LUTR 123","Rahim, Niazur","10","Open",
"8832","FINC 428","1","WI:Financial Policy &amp; Strategy","3","  WI","Lec","MWF","0800-0850","LUTR 123","Rahim, Niazur","13","Open",
"8833","FINC 428","2","WI:Financial Policy &amp; Strategy","3","  WI","Lec","MWF","0900-0950","LUTR 131","Rahim, Niazur","0","Closed",
"8834","FINC 428","3","WI:Financial Policy &amp; Strategy","3","  WI","Lec","TR","0800-0915","LUTR 123","Hall, Thomas","0","Closed",
"9254","FINC 495","1","SPC TP: International Finance","3","","Lec","TR","1330-1445","LUTR 109","Ji, Xiuqing","0","Closed",
"9297","FLUT 132","1","Applied Music: Flute","1","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"9298","FLUT 232","1","Applied Music: Flute","1","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"9299","FLUT 234","1","Applied Music: Flute","2","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"9300","FLUT 334","1","Applied Music: Flute","2","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"9301","FLUT 432","1","Applied Music: Flute","1","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"9302","FLUT 434","1","Applied Music: Flute","2","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
