CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"9147","HONR 382","3","HNRS: Civic Engagement","0 - 3","  HON","Pra","","","ARR ","Paul, Jay","41","Open",
"9148","HONR 383","1","HNRS: Study Abroad","0 - 3","  HON","Lec","","","ARR ","Paul, Jay","0","Closed",
"9208","HONR 395","2","SPC TP: Heaven &amp; Hell","3","  HON","Lec","TR","1800-1915","TRIB 1210","Salomon, David","0","Closed",
"9209","HONR 395","3","SPC TP: People, Power, Change","3","  HON","Lec","TR","0930-1045","FERG 208","Sun, Taiyi","0","Closed",
"9210","HONR 395","4","SPC TP: Religions &amp; Violence","3","  HON","Lec","MWF","1100-1150","MCM 316","Thompson, John","0","Closed",
"9211","HONR 395","5","SPC TP: Afrofuturism","3","  HON","Lec","MWF","1300-1350","MCM 364","Hopkins, Patricia","3","Open",
"9149","HONR 484","1","Honors Portfolio","1","  HON","Ind","","","ARR ","Paul, Jay","1","Open",
"9150","HONR 484","2","Honors Portfolio","1","  HON","Ind","","","ARR ","Paul, Jay","12","Open",
"9151","HONR 484","3","Honors Portfolio","1","  HON","Ind","","","ARR ","Paul, Jay","36","Open",
"9152","HONR 490","1","HNRS WI: Probl in Modern World","3","  HON  WI","Lec","TR","1100-1215","MCM 200B","Timani, Hussam","0","Closed",
"9153","HONR 490","2","HNRS WI: Probl in Modern World","3","  HON  WI","Lec","MW","1600-1715","TRIB 208","Paul, Jay","0","Closed",
"9154","HONR 490","3","HNRS WI: Probl in Modern World","3","  HON  WI","Lec","TR","1330-1445","TRIB 208","Paul, Jay","0","Closed",
"9155","HONR 490","4","HNRS WI: Probl in Modern World","3","  HON  WI","Lec","MW","1800-1915","MCM 200B","Connell, William","0","Closed",
"9305","HORN 132","1","Applied Music: Horn","1","","Lab","","","ARR ","Wilder, Jacob","0","Closed",
"9306","HORN 234","1","Applied Music: Horn","2","","Lab","","","ARR ","Wilder, Jacob","0","Closed",
"8937","IDST 210","1","Childhood Study: Hist, Lit, Ed","3","","Lec","TR","1100-1215","MCM 262","Shortsleeve, Kevin","0","Closed",
"8509","IDST 255","1","Intro to Women&#39;s &amp; Gender Stud","3","  AIGM","Lec","TR","1100-1215","MCM 357","Puaca, Laura","0","Closed",
"8510","IDST 255","2","Intro to Women&#39;s &amp; Gender Stud","3","  AIGM","Lec","TR","1330-1445","MCM 357","Puaca, Laura","0","Closed",
"8649","IDST 265","1","Intro-Mid Eastrn/N Afr studies","3","","Lec","MWF","1200-1250","MCM 257","Obeid, Diana","5","Open",
"9372","IDST 295","S02","SA:Scottish Identities","2","","Lec","","","ARR ","","0","Closed",
"8437","IDST 377","1","Advanced Museum Studies","3","","Lec","MW","1800-1915","FERG 207","Morris, Chelsea","2","Open",
"9251","IDST 470","1","Capstone in Civ Eng &amp; Soc Jus","3","","Lec","W","1800-2045","LUTR 137","Gagnon, Elizabeth","11","Open",
"9235","IDST 490","1","IDST Capstone Project Env Std","3","","Ind","MWF","1000-1050","TRIB 1210","Rose, Andrew","0","Closed",
"9307","IMPR 434","1","Applied Music: Improvisation","2","","Lab","","","ARR ","Musselwhite, Eric","0","Closed",
"8650","ITAL 102","1","Beginning Italian II","3","","Lec","MWF","0900-0950","MCM 212","Sorbera, Valentina","6","Open",
"8651","ITAL 102","2","Beginning Italian II","3","","Lec","MWF","1000-1050","MCM 212","Sorbera, Valentina","5","Open",
"8652","ITAL 202","1","Intermediate Italian II","3","  LLFL","Lec","MWF","1100-1150","MCM 212","Sorbera, Valentina","18","Open",
"8653","LATN 102","1","Beginning Latin II","3","","Lec","MWF","1100-1150","TRIB 208","Buszard, Bradley","0","Closed",
"8654","LATN 102","2","Beginning Latin II","3","","Lec","MWF","1300-1350","MCM 257","Buszard, Bradley","0","Closed",
"8655","LATN 202","1","Intermediate Latin II","3","  LLFL","Lec","MWF","1000-1050","MCM 164","Adamitis, Jana","2","Open",
"8656","LATN 302","1","Roman Historians","3","  LLFL","Lec","MWF","1300-1350","MCM 366","Pollio, David","5","Open",
"8657","LATN 402","1","Roman Historians","3","  LLFL","Lec","MWF","1300-1350","MCM 366","Pollio, David","4","Open",
"8719","LDSP 240","1","Theories/Persp on Leadership","3","","Lec","TR","0800-0915","LUTR 137","Harter, Nathan","0","Closed",
"8728","LDSP 240","10","Theories/Persp on Leadership","3","","Lec","TR","1100-1215","FORBES 2014","Redekop, Benjamin","0","Closed",
"8729","LDSP 240","11","Theories/Persp on Leadership","3","","Lec","TR","1800-1915","LUTR 142","Chace, Sarah","1","Open",
"8730","LDSP 240","12","Theories/Persp on Leadership","3","","Lec","TR","1500-1615","MCM 210","Gagnon, Elizabeth","0","Closed",
"8733","LDSP 240","13","Theories/Persp on Leadership","3","","Lec","MWF","1400-1450","FORBES 2070A","Heuvel, Sean","0","Closed",
"8736","LDSP 240","14","Theories/Persp on Leadership","3","","Lec","MWF","1100-1150","LUTR 142","Heuvel, Sean","0","Closed",
"9213","LDSP 240","15","Theories/Persp on Leadership","3","","Lec","MW","1600-1715","FORBES 2014","Heuvel, Lisa","0","Closed",
"9272","LDSP 240","16","Theories/Persp on Leadership","3","","Lec","M","1800-2045","FORBES 2014","Tanner, Kelly","2","Open",
"9274","LDSP 240","17","Theories/Persp on Leadership","3","","Lec","MW","1800-1915","FORBES 2070E","Byrd-Poller, Lynda","4","Open",
"9275","LDSP 240","18","Theories/Persp on Leadership","3","","Lec","MW","1930-2045","FORBES 2070E","Byrd-Poller, Lynda","4","Open",
"8720","LDSP 240","2","Theories/Persp on Leadership","3","","Lec","TR","0930-1045","LUTR 137","Harter, Nathan","0","Closed",
"8721","LDSP 240","3","Theories/Persp on Leadership","3","","Lec","TR","1100-1215","LUTR 139","Shollen, S.","0","Closed",
"8722","LDSP 240","4","Theories/Persp on Leadership","3","","Lec","TR","1800-1915","LUTR 139","Hench, Jessica","0","Closed",
"8723","LDSP 240","5","Theories/Persp on Leadership","3","","Lec","TR","1930-2045","LUTR 139","Hench, Jessica","0","Closed",
"8724","LDSP 240","6","Theories/Persp on Leadership","3","","Lec","TR","1630-1745","LUTR 142","Chace, Sarah","1","Open",
"8725","LDSP 240","7","Theories/Persp on Leadership","3","","Lec","MW","1600-1715","LUTR 142","Throupe, Lori","0","Closed",
"8726","LDSP 240","8","Theories/Persp on Leadership","3","","Lec","MW","1800-1915","LUTR 142","Throupe, Lori","0","Closed",
"8727","LDSP 240","9","Theories/Persp on Leadership","3","","Lec","TR","1330-1445","MCM 260","Throupe, Lori","0","Closed",
"8742","LDSP 320","1","Leadership Through the Ages","3","","Lec","TR","1800-1915","LUTR 347","Redekop, Benjamin","1","Open",
"8743","LDSP 320","2","Leadership Through the Ages","3","","Lec","TR","1500-1615","LUTR 347","Redekop, Benjamin","1","Open",
"8747","LDSP 320","3","Leadership Through the Ages","3","","Lec","MWF","1200-1250","LUTR 170","Tian, Qingyan","5","Open",
"8751","LDSP 320","4","Leadership Through the Ages","3","","Lec","MWF","0900-0950","LUTR 137","Walker, Jeffrey","3","Open",
"8753","LDSP 320","5","Leadership Through the Ages","3","","Lec","MWF","1000-1050","LUTR 137","Walker, Jeffrey","1","Open",
"8756","LDSP 330","1","Cross-Cultural Leadership","3","AIGM","Lec","MWF","0900-0950","TRIB 208","Tian, Qingyan","0","Closed",
"8759","LDSP 330","2","Cross-Cultural Leadership","3","AIGM","Lec","MWF","1000-1050","TRIB 208","Tian, Qingyan","0","Closed",
"8760","LDSP 350","1","Leadership in Sport","3","","Lec","TR","0930-1045","LUTR 139","Shollen, S.","0","Closed",
"8764","LDSP 370","1","Leading in Healthcare Industry","3","","Lec","W","1800-2100","LUTR 170","Waters, Molly","0","Closed",
"8767","LDSP 380","1","Women and Leadership","3","","Lec","TR","1630-1745","LUTR 137","Callahan, Kathleen","0","Closed",
"8768","LDSP 384","1","Leading Change","3","","Lec","TR","1330-1445","LUTR 139","Chace, Sarah","0","Closed",
"8769","LDSP 386","1","Values Leadership","3","","Lec","MWF","1000-1050","LUTR 131","Heuvel, Sean","0","Closed",
"8770","LDSP 386","2","Values Leadership","3","","Lec","TR","0930-1045","FORBES 2088","Waters, Molly","0","Closed",
"8771","LDSP 386","3","Values Leadership","3","","Lec","TR","1100-1215","FORBES 2088","Waters, Molly","0","Closed",
"8772","LDSP 386","4","Values Leadership","3","","Lec","TR","1500-1615","FORBES 2088","Waters, Molly","0","Closed",
"8773","LDSP 386","5","Values Leadership","3","","Lec","MWF","1100-1150","LUTR 137","Callahan, Kathleen","0","Closed",
"8774","LDSP 386","6","Values Leadership","3","","Lec","MWF","1200-1250","LUTR 137","Callahan, Kathleen","0","Closed",
"8775","LDSP 386","7","Values Leadership","3","","Lec","MWF","1400-1450","LUTR 131","Callahan, Kathleen","0","Closed",
"8776","LDSP 386","8","Values Leadership","3","","Lec","TR","1630-1745","FORBES 2088","Harter, Nathan","0","Closed",
"8777","LDSP 386","9","Values Leadership","3","","Lec","TR","1330-1445","MCM 210","Gagnon, Elizabeth","0","Closed",
"9228","LDSP 395","1","SPC TP: Leader-Follower Roles","3","","Lec","T","1800-2100","LUTR 170","Throupe, Lori; Hunter, Lacey Grey","0","Closed",
"9428","LDSP 399","1","IND ST: Ldsp Dev &amp; Assessment","1","","Ind","","","ARR ","Throupe, Lori","0","Closed",
"8189","MATH 109","1","Thrthcl Fndtn of Elem Schl Mth","3","","Lec","TR","0800-0915","LUTR 352","Lenhart, Sara","0","Closed",
"8192","MATH 109","2","Thrthcl Fndtn of Elem Schl Mth","3","","Lec","TR","1100-1215","LUTR 352","Lenhart, Sara","0","Closed",
"8200","MATH 115","1","Contemporary Mathematics","3","  LLFM","Lec","MWF","0900-0950","LUTR 372","Tong, Zheng","0","Closed",
"8205","MATH 115","2","Contemporary Mathematics","3","  LLFM","Lec","MWF","1100-1150","LUTR 372","Curl, Emelie","7","Open",
"8207","MATH 115","3","Contemporary Mathematics","3","  LLFM","Lec","MWF","1300-1350","LUTR 372","Tong, Zheng","0","Closed",
"8209","MATH 115","4","Contemporary Mathematics","3","  LLFM","Lec","TR","0930-1045","LUTR 372","Curl, Emelie","16","Open",
"8210","MATH 115","5","Contemporary Mathematics","3","  LLFM","Lec","TR","1330-1445","LUTR 372","Curl, Emelie","6","Open",
"8211","MATH 115","6","Contemporary Mathematics","3","  LLFM","Lec","TR","1500-1615","LUTR 372","Morena, Matthew","0","Closed",
"8213","MATH 120","1","The Saga of Mathematics","3","  LLFM","Lec","TR","0930-1045","LUTR 347","Lenhart, Sara","0","Closed",
"8214","MATH 125","1","Elementary Statistics","3","  LLFM","Lec","MWF","0800-0850","LUTR 372","Nailor, Jeanne","3","Open",
"8223","MATH 125","10","Elementary Statistics","3","  LLFM","Lec","TR","1800-1915","LUTR 376","G J Kankanamge, Duminda","0","Closed",
"8224","MATH 125","11","Elementary Statistics","3","  LLFM","Lec","MW","1600-1715","LUTR 376","Clark, Mary Eunice Joy","0","Closed",
"8225","MATH 125","12","Elementary Statistics","3","  LLFM","Lec","MW","1800-1915","LUTR 269","G J Kankanamge, Duminda","12","Open",
"8215","MATH 125","2","Elementary Statistics","3","  LLFM","Lec","MWF","1000-1050","LUTR 372","Tong, Zheng","0","Closed",
"8216","MATH 125","3","Elementary Statistics","3","  LLFM","Lec","MWF","1200-1250","LUTR 372","Tong, Zheng","0","Closed",
"8217","MATH 125","4","Elementary Statistics","3","  LLFM","Lec","MWF","1400-1450","LUTR 372","Panayotova, Iordanka","1","Open",
"8218","MATH 125","5","Elementary Statistics","3","  LLFM","Lec","MW","1600-1715","LUTR 372","Frazier, Shawn","1","Open",
"8219","MATH 125","6","Elementary Statistics","3","  LLFM","Lec","MW","1800-1915","LUTR 372","Slagel, Joseph","7","Open",
"8220","MATH 125","7","Elementary Statistics","3","  LLFM","Lec","TR","1100-1215","LUTR 372","Martin, James","0","Closed",
"8221","MATH 125","8","Elementary Statistics","3","  LLFM","Lec","TR","1630-1745","LUTR 372","Martin, James","2","Open",
"8222","MATH 125","9","Elementary Statistics","3","  LLFM","Lec","TR","1800-1915","LUTR 372","Delmage, Erin","0","Closed",
"8227","MATH 127","2","Elementary Cryptography","3","  LLFM","Lec","MWF","0900-0950","LUTR 269","Kennedy, Christopher","2","Open",
"8228","MATH 128","1","Intro-Mathematical Programming","3","  LLFM","Lec","TR","1500-1615","FORBES 2014","Kelly, Jessica","14","Open",
"8229","MATH 130","1","Precalculus","3","  LLFM","Lec","MWF","0800-0850","LUTR 269","Chen, Hongwei","0","Closed",
"8230","MATH 130","2","Precalculus","3","  LLFM","Lec","TR","0800-0915","LUTR 269","G J Kankanamge, Duminda","0","Closed",
"8231","MATH 130","3","Precalculus","3","  LLFM","Lec","MWF","1200-1250","LUTR 269","Fogarty, Neville","0","Closed",
"8232","MATH 130","4","Precalculus","3","  LLFM","Lec","MW","1800-1915","LUTR 376","Frazier, Shawn","0","Closed",
"8233","MATH 130","5","Precalculus","3","  LLFM","Lec","TR","1500-1615","LUTR 242","Indika, S.H. Sathish","0","Closed",
"9249","MATH 130","6","Precalculus","3","  LLFM","Lec","TR","1630-1745","LUTR 376","Indika, S.H. Sathish","0","Closed",
"8237","MATH 131","2","Math for the Life Sciences","3","  LLFM","Lec","MWF","1400-1450","LUTR 376","Bradie, Brian","2","Open",
"8234","MATH 132","1","Concepts for Calculus","3","","Lec","MWF","1000-1050","LUTR 269","Chen, Hongwei","16","Open",
"8238","MATH 135","1","Calculus for Busn/Social Sci","3","  LLFM","Lec","MWF","1300-1350","LUTR 269","Nailor, Jeanne","0","Closed",
"8239","MATH 135","2","Calculus for Busn/Social Sci","3","  LLFM","Lec","MWF","1100-1150","LUTR 264","Nailor, Jeanne","0","Closed",
"8240","MATH 135","3","Calculus for Busn/Social Sci","3","  LLFM","Lec","MW","1800-1915","LUTR 242","Kidd, Holly","1","Open",
"8243","MATH 135","7","Calculus for Busn/Social Sci","3","  LLFM","Lec","MWF","1200-1250","LUTR 352","Caggiano, Stephanie","0","Closed",
"8244","MATH 135","8","Calculus for Busn/Social Sci","3","  LLFM","Lec","TR","1330-1445","LUTR 347","Carpenter, Ryan","0","Closed",
"8245","MATH 140","1","Calculus and Analytic Geometry","4","  LLFM","Lec","MTWRF","0800-0850","LUTR 376","Carpenter, Ryan","10","Open",
"8246","MATH 140","2","Calculus and Analytic Geometry","4","  LLFM","Lec","MWF; TR","0900-0950; 0930-1045","LUTR 376; LUTR 376","Caggiano, Stephanie","0","Closed",
"8247","MATH 140","3","Calculus and Analytic Geometry","4","  LLFM","Lec","MWF; TR","1300-1350; 1330-1445","LUTR 376; LUTR 376","Fogarty, Neville","0","Closed",
"8248","MATH 140","4","Calculus and Analytic Geometry","4","  LLFM","Lec","MTWRF","1500-1550","LUTR 376","Bradie, Brian","3","Open",
"8255","MATH 140","5","Calculus and Analytic Geometry","4","  LLFM","Lec","MTWRF","1100-1150","LUTR 376","Kelly, James","0","Closed",
"8264","MATH 235","1","Applied Matrix Techniques","3","  LLFM","Lec","TR","1100-1215","LUTR 347","Morena, Matthew","0","Closed",
"8265","MATH 235","2","Applied Matrix Techniques","3","  LLFM","Lec","MW","1600-1715","LUTR 264","Dobrescu, Mihaela","0","Closed",
"8266","MATH 240","1","Intermediate Calculus","4","  LLFM","Lec","MW; F","0800-0915; 0800-0850","FORBES 2070A; FORBES 2070A","Martin, James","4","Open",
"8267","MATH 240","2","Intermediate Calculus","4","  LLFM","Lec","MW; F","1000-1115; 1000-1050","FORBES 3012; FORBES 3012","Panayotova, Iordanka","0","Closed",
"8268","MATH 240","3","Intermediate Calculus","4","  LLFM","Lec","MW; F","1200-1315; 1200-1250","FORBES 3012; FORBES 3012","Kuster, George","0","Closed",
"8269","MATH 240","4","Intermediate Calculus","4","  LLFM","Lec","MW; F","1400-1515; 1400-1450","FORBES 3012; FORBES 3012","Dobrescu, Mihaela","0","Closed",
"8270","MATH 245","1","Proofs and Discrete Math","3","  LLFM","Lec","MWF","0800-0850","LUTR 142","Fogarty, Neville","5","Open",
"8271","MATH 250","1","Multivariable Calculus","3","  LLFM","Lec","MWF","1000-1050","LUTR 376","Bradie, Brian","0","Closed",
"8272","MATH 260","1","Linear Algebra","3","  LLFM","Lec","TR","0930-1045","LUTR 242","Carpenter, Ryan","1","Open",
"8273","MATH 260","2","Linear Algebra","3","  LLFM","Lec","MWF","1200-1250","LUTR 376","Panayotova, Iordanka","8","Open",
"8274","MATH 303","1","WI: Mathematics in Context","1","  WI","Lec","F","0900-0950","LUTR 352","Carpenter, Ryan","0","Closed",
"8276","MATH 320","1","Ordinary Differentl Equations","3","  LLFM","Lec","TR","0800-0915","LUTR 242","Morena, Matthew","0","Closed",
"8277","MATH 320","2","Ordinary Differentl Equations","3","  LLFM","Lec","MWF","1000-1050","LUTR 142","Dobrescu, Mihaela","3","Open",
"8278","MATH 345","1","Number Theory","3","  LLFM","Lec","MWF","0900-0950","LUTR 142","Samuels, Charles","13","Open",
"8279","MATH 350","1","Vector Calculus","3","  LLFM","Lec","MWF","1100-1150","LUTR 269","Chen, Hongwei","0","Closed",
"8280","MATH 360","1","Real Analysis I","3","  LLFM","Lec","MWF","1300-1350","LUTR 142","Kelly, James","7","Open",
"8282","MATH 375","1","Linear Algebra/Its Application","3","  LLFM","Lec","TR","0930-1045","LUTR 269","Samuels, Charles","3","Open",
"8281","MATH 378","1","Elmntry Geomtry frm Adv Viewpt","3","  LLFM","Lec","TR","1330-1445","LUTR 352","Kuster, George","5","Open",
"8283","MATH 435","1","Mathematical Statistics","3","  LLFM","Lec","MWF","1400-1450","LUTR 142","Curl, Emelie","17","Open",
"8284","MATH 440","1","Mathematical Modeling","3","  LLFM","Lec","TR","1330-1445","FORBES 2014","Kelly, Jessica","21","Open",
"8285","MATH 451","1","Independent Learning Experienc","1","  LLFM","Lec","R","1100-1215","LUTR 264","Kelly, Jessica","13","Open",
"8291","MATH 470","1","Modern Algebra II","3","","Lec","MWF","1200-1250","LUTR 142","Kennedy, Christopher","14","Open",
"9359","MATH 499","1","IND ST:Algebraic Number Theory","1","  LLFM","Ind","","","ARR ","Samuels, Charles","0","Closed",
"9360","MATH 499","2","IND ST: Axiomatic Set Theory","3","  LLFM","Ind","","","ARR ","Kennedy, Christopher","0","Closed",
"9420","MATH 499","3","IND ST: Math Models Tumor Grow","3","  LLFM","Ind","","","ARR ","Panayotova, Iordanka","0","Closed",
"8292","MATH 555","1","Pedagogy, Assess &amp; Research","3","","Lec","","","ARR ","Kuster, George","6","Open",
"8835","MGMT 310","1","Leadership in Business","3","","Lec","MWF","1000-1050","LUTR 170","Spranger, Angela","0","Closed",
"8836","MGMT 310","2","Leadership in Business","3","","Lec","MWF","1100-1150","LUTR 170","Spranger, Angela","0","Closed",
"9232","MGMT 310","3","Leadership in Business","3","","Lec","MWF","1400-1450","LUTR 170","Spranger, Angela","9","Open",
"8837","MGMT 355","1","Management Science","3","","Lec","TR","1100-1215","LUTR 109","Hasbrouck, Robert","0","Closed",
"8838","MGMT 355","2","Management Science","3","","Lec","TR","1330-1445","LUTR 157","Hasbrouck, Robert","0","Closed",
"8845","MGMT 491","1","WI: Senior Sem in Management","3","  WI","Lec","MWF","1300-1350","TRIB 208","Walker, Scott","0","Closed",
"8846","MGMT 491","2","WI: Senior Sem in Management","3","  WI","Lec","TR","0800-0915","LUTR 347","Donaldson, William","0","Closed",
"9245","MGMT 495","1","SPC TP: Project Management","3","","Lec","MW","1800-1915","MCM 257","Staff, CNU","0","Closed",
"9421","MGMT 499","1","IND ST: Imptc of El in Ldr Eff","3","","Ind","","","ARR ","Spranger, Angela","0","Closed",
"9427","MGMT 499","2","IND ST: Wm Perc of Wkng for Wm","3","","Ind","","","ARR ","Spranger, Angela","0","Closed",
"8848","MKTG 310","1","Interactive Marketing","3","","Lec","MWF","1000-1050","LUTR 123","Kim, Dae-Hee","2","Open",
"8849","MKTG 310","2","Interactive Marketing","3","","Lec","MWF","1100-1150","LUTR 139","Kim, Dae-Hee","2","Open",
"8851","MKTG 330","1","WI:Digital Marketing","3","  WI","Lec","MWF","1100-1150","LUTR 105","Hettche, Matthew","0","Closed",
"8852","MKTG 330","2","WI:Digital Marketing","3","  WI","Lec","MWF","1400-1450","LUTR 105","Hettche, Matthew","0","Closed",
"8857","MKTG 412","1","Successful Selling &amp; Storytell","3","","Lec","TR","1330-1445","LUTR 142","Spiller, Lisa","1","Open",
"8859","MKTG 420","1","Consumer Research","3","","Lec","MW","1600-1715","LUTR 109","Kim, Dae-Hee","0","Closed",
"8860","MKTG 470","1","Interactive Mktg Strategy","3","","Lec","TR","0930-1045","LUTR 142","Spiller, Lisa","0","Closed",
"8861","MKTG 470","2","Interactive Mktg Strategy","3","","Lec","TR","1100-1215","LUTR 142","Spiller, Lisa","0","Closed",
"8658","MLAN 206","1","The Drama-English Translation","3","  AIWT","Lec","TR","1100-1215","MCM 162","Miller, Elaine","4","Open",
"8659","MLAN 308","1","Cross Cultural Awareness","3","  AIGM","Lec","MWF","0900-0950","MCM 216","Siewe Seuchie, Patricia","0","Closed",
"8660","MLAN 308","2","Cross Cultural Awareness","3","  AIGM","Lec","MWF","1300-1350","FORBES 2074","Siewe Seuchie, Patricia","0","Closed",
"8661","MLAN 310","1","WI:Texts in Context","3","  AICE  WI","Lec","MWF","1100-1150","MCM 207","Mulryan, Michael","0","Closed",
"8662","MLAN 311","1","Teaching English to Speakers","3","","Lec","TR","1100-1215","MCM 307","Grau, Michelle","10","Open",
"9402","MLAN 499","1","IND ST: Undrstnding Migration","3","","Ind","","","ARR ","Padilla, Mark","0","Closed",
"8663","MLAN 511","1","Advanced Strategies in TESOL","3","","Lec","T","1630-1915","MCM 316","Grau, Michelle","0","Closed",
"8701","MLSC 102","1","Intro to Tactical Leadership","2","","Lec","TR","1100-1215","MCM 160","McBroom-Teasley, Ronald","3","Open",
"8702","MLSC 102L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 164","McBroom-Teasley, Ronald","3","Open",
"9184","MLSC 202","1","Foundat of Tactical Leadership","2","","Lec","TR","1100-1215","FORBES 2015","Beltran, Oscar","19","Open",
"9185","MLSC 202L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 164","Beltran, Oscar","19","Open",
"9238","MLSC 295","1","SPC TP: Military Ethical Ldrsp","3","","Lec","MWF","0900-0950","MCM 257","Pacella, Michael","12","Open",
"9186","MLSC 302","1","Ldshp in Changing Environments","3","","Lec","TR","1330-1445","MCM 112","Relation, Brian","7","Open",
"9370","MLSC 302","2","Ldshp in Changing Environments","3","","Lec","","","ARR ","Relation, Brian","0","Closed",
"9187","MLSC 302L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 164","Relation, Brian","6","Open",
"9237","MLSC 395","1","SPC TP: US Military History","3","","Lec","W","1800-2045","MCM 114","Wakefield, Austin","7","Open",
"9188","MLSC 402","1","Leadership in a Complex World","3","","Lec","TR","1330-1445","MCM 364","Menhart, Dustin","13","Open",
"9355","MLSC 402","2","Leadership in a Complex World","3","","Lec","","","ARR ","Menhart, Dustin","0","Closed",
"9189","MLSC 402L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 164","Menhart, Dustin","12","Open",
"8563","MUSC 012","1","Performance Attendance","0","","Fie","","","ARR ","Reimer, Mark","39","Open",
"8564","MUSC 014","1","Clarinet Masterclass","0","","Lab","","","ARR ","Byerly, Michael","0","Closed",
"8573","MUSC 014","10","Voice Masterclass","0","","Lab","","","ARR ","McGuire, John","1","Open",
"8574","MUSC 014","11","Voice Masterclass","0","","Lab","","","ARR ","Holland, Rachel","0","Closed",
"8575","MUSC 014","12","Woodwinds Masterclass","0","","Lab","","","ARR ","Fatek, David","0","Closed",
"8576","MUSC 014","13","Woodwinds Masterclass","0","","Lab","","","ARR ","Longmire, Kelly","1","Open",
"8577","MUSC 014","14","Woodwinds Masterclass","0","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"9285","MUSC 014","15","Jazz Masterclass","0","","Lab","","","ARR ","Musselwhite, Eric","1","Open",
"9286","MUSC 014","16","Strings Masterclass","0","","Lab","","","ARR ","Pike, Anastasia","0","Closed",
"9287","MUSC 014","17","Trumpet Masterclass","0","","Lab","","","ARR ","Rossum, Kelly","0","Closed",
"9289","MUSC 014","19","Organ Masterclass","0","","Lab","","","ARR ","Cook, Stephen","0","Closed",
"8565","MUSC 014","2","Composition Masterclass","0","","Lab","","","ARR ","Tfirn, Maxwell","0","Closed",
"9349","MUSC 014","20","Euphonium Masterclass","0","","Lab","","","ARR ","Cipriano, James","0","Closed",
"9394","MUSC 014","21","Jazz Masterclass","0","","Lab","","","ARR ","Rossum, Kelly","0","Closed",
"9401","MUSC 014","22","Bassoon Masterclass","0","","Lab","","","ARR ","Savige, David","0","Closed",
"8566","MUSC 014","3","Jazz Masterclass","0","","Lab","","","ARR ","Sully, Ballard","1","Open",
"8567","MUSC 014","4","Low Brass Masterclass","0","","Lab","","","ARR ","Wilder, Jacob","0","Closed",
"8568","MUSC 014","5","Low Brass Masterclass","0","","Lab","","","ARR ","Antonetti, Tanner","1","Open",
"8569","MUSC 014","6","Percussion Masterclass","0","","Lab","","","ARR ","Jacobson, James","0","Closed",
"8570","MUSC 014","7","Piano Masterclass","0","","Lab","","","ARR ","Corbin, Benjamin","0","Closed",
"8571","MUSC 014","8","Strings Masterclass","0","","Lab","","","ARR ","Tews, Jacob","0","Closed",
"8572","MUSC 014","9","Trumpet Masterclass","0","","Lab","","","ARR ","Gandolfo, Adam","0","Closed",
"8579","MUSC 100","1","University Chorale","1","  AICE","Lab","TR","1630-1745","ARR ","Irving, John","16","Open",
"8578","MUSC 101","1","Wind Ensemble","1","  AICE","Lab","TR","1630-1820","FERG A100","Reimer, Mark","23","Open",
"8580","MUSC 102","1","University Orchestra","1","  AICE","Lab","TR","1630-1820","FERG A183","Thompson, J.","32","Open",
"8581","MUSC 103","1","Jazz Ensemble","1","  AICE","Lab","MWF","1300-1350","FERG A100","Rossum, Kelly","10","Open",
"8582","MUSC 104","1","Chamber Ensemble","1","","Lab","MF","1200-1250","FERG A100","Tfirn, Maxwell","7","Open",
"8583","MUSC 104","2","Chamber Ensemble","1","","Lab","F","1600-1750","FERG A100","Lopez, John","3","Open",
"8584","MUSC 104","3","Chamber Ensemble","1","","Lab","","","ARR ","Corbin, Benjamin","18","Open",
"8585","MUSC 105","1","Chamber Choir","1","  AICE","Lab","MWF","1300-1430","FERG A183","Irving, John","17","Open",
"8586","MUSC 108","1","Jazz Combo","1","","Lab","T","1930-2130","FERG A183","Sully, Ballard","0","Closed",
"8587","MUSC 114","1","University Band","1","  AICE","Lab","MW","1600-1750","FERG A100","Lopez, John","53","Open",
"8588","MUSC 116","1","Elementary Keyboard Skills","1","","Lab","TR","0800-0915","FERG 213","Tomassetti, Elizabeth","0","Closed",
"8589","MUSC 116","2","Elementary Keyboard Skills","1","","Lab","TR","1100-1215","FERG 213","Tomassetti, Elizabeth","0","Closed",
"9361","MUSC 116","3","Elementary Keyboard Skills","1","","Lab","MWF","1200-1250","FERG 213","Sorbera, Valentina","1","Open",
"8590","MUSC 123","1","Pep Band","0 - 1","","Lab","W","2000-2200","FERG A100","Lopez, John","12","Open",
"8591","MUSC 124","1","Percussion Ensemble","1","","Lab","TR","1830-1945","FERG A100","Amman, Scott","14","Open",
"8592","MUSC 135","1","Music Fundamentals","1","","Lec","M","0800-0850","FERG 213","Daniel, Suzanne","15","Open",
"9227","MUSC 135","2","Music Fundamentals","1","","Lec","M","0900-0950","FERG 213","Daniel, Suzanne","13","Open",
"8593","MUSC 137","1","Intro to Music Education","1","","Lab","TR","1330-1445","FERG A183","Ankney, Kimberly","10","Open",
