CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8709","ENGL 223","ON4","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1100-1150","SYN ","Hopkins, Patricia","0","Closed",
"8697","ENGL 223","ON5","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","0900-0950","SYN ","Carney, Jason","0","Closed",
"8698","ENGL 223","ON6","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1100-1150","SYN ","Carney, Jason","0","Closed",
"8711","ENGL 223","ON7","Second-Year Writing Seminar","3","  LLFW","Lec","MW","1600-1715","SYN ","Keeling, Kara","0","Closed",
"8701","ENGL 223","ON8","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","0900-0950","SYN ","Pollard, Scott","1","Open",
"8710","ENGL 223","ON9","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1200-1250","SYN ","Hopkins, Patricia","0","Closed",
"8718","ENGL 250","1","Shaping Lang: Creative Writ","3","  AICE","Lec","MW","1600-1715","MCM 101","Rodden, Dan","0","Closed",
"9309","ENGL 256","1","Introduction to Film Studies","3","  AICE","Lec","W","1800-2045","MCM 216","Anklam, James","0","Closed",
"8719","ENGL 271","ON1","The Arthurian Legend","3","  AIWT","Lec","TR","1330-1445","SYN ","Rowley, Sharon","6","Open",
"8720","ENGL 308","ON1","WI: Lit, Theory, &amp; Culture","3","  WI","Lec","MWF","1300-1350","SYN ","Garton-Gundling, Kyle","0","Closed",
"8722","ENGL 309","1","WI: Creative Nonfiction","3","  WI","Lec","MWF","1100-1150","MCM 262","Davis, Cynthia","0","Closed",
"8723","ENGL 309","ON1","WI: Creative Nonfiction","3","  WI","Lec","TR","1100-1215","SYN ","Eleftheriou, Joanna","0","Closed",
"8724","ENGL 309","ON2","WI: Creative Nonfiction","3","  WI","Lec","TR","1330-1445","SYN ","Eleftheriou, Joanna","0","Closed",
"8725","ENGL 310","ON1","Introduction to Linguistics","3","  AIGM","Lec","TR","1330-1445","SYN ","Wheeler, Rebecca","1","Open",
"8727","ENGL 315","ON1","Adolescent Literature","3","","Lec","MW","1800-1915","SYN ","Keeling, Kara","0","Closed",
"8728","ENGL 316","ON1","Children&#39;s Literature","3","","Lec","TR","0930-1045","SYN ","Shortsleeve, Kevin","3","Open",
"8729","ENGL 316","ON2","Children&#39;s Literature","3","","Lec","TR","1330-1445","SYN ","Shortsleeve, Kevin","2","Open",
"8730","ENGL 320","1","Studies in Women &amp; Lit","3","  AIGM","Lec","MWF","1200-1250","FORBES 2074","Marinova, Margarita","2","Open",
"8731","ENGL 339","ON1","WI:Tutoring in the Writing Ctr","3","  WI","Lec","MWF","1400-1450","SYN ","Emmelhainz, Nicole","1","Open",
"8732","ENGL 343","1","Postmodern America","3","","Lec","MWF","1000-1050","MCM 216","Garton-Gundling, Kyle","0","Closed",
"8734","ENGL 350","1","WI: Writing-Digital Humanities","3","  WI","Lec","MWF","1200-1250","TRIB 1213","Stover, Deanna","0","Closed",
"9302","ENGL 350","2","WI: Writing-Digital Humanities","3","  WI","Lec","MWF","0900-0950","TRIB 1213","Stover, Deanna","3","Open",
"8735","ENGL 351","1","WI: Fiction Writing","3","  WI","Lec","TR","1500-1615","MCM 212","Rodden, Dan","0","Closed",
"8738","ENGL 353","3","WI: Writing for the Profession","3","  WI","Lec","MWF","1300-1350","MCM 260","Filetti, Jean","0","Closed",
"8740","ENGL 353","5","WI: Writing for the Profession","3","  WI","Lec","TR","1500-1615","MCM 312","Covington, Brooke","2","Open",
"8741","ENGL 353","6","WI: Writing for the Profession","3","  WI","Lec","TR","1630-1745","MCM 312","Covington, Brooke","0","Closed",
"8739","ENGL 353","ON1","WI: Writing for the Profession","3","  WI","Lec","TR","1800-1915","SYN ","Covington, Brooke","0","Closed",
"8736","ENGL 353","ON2","WI: Writing for the Profession","3","  WI","Lec","TR","0800-0915","SYN ","Emmelhainz, Nicole","0","Closed",
"8737","ENGL 353","ON3","WI: Writing for the Profession","3","  WI","Lec","TR","0930-1045","SYN ","Covington, Brooke","0","Closed",
"8743","ENGL 374","1","Romanticisms &amp; Realisms","3","","Lec","TR","1100-1215","MCM 164","Teekell, Anna","5","Open",
"8744","ENGL 393","1","Environmental Imaginings","3","","Lec","MWF","1300-1350","FORBES 2074","Rose, Andrew","0","Closed",
"9295","ENGL 395","ON1","SPC TP: Amercn Gothic &amp; Poe","3","","Lec","MW","1600-1715","SYN ","Carney, Jason","2","Open",
"8745","ENGL 416","ON1","Adv Stud: Childr &amp; Adolesc Lit","3","","Lec","TR","1800-1915","SYN ","Keeling, Kara","7","Open",
"8746","ENGL 421","ON1","Shakespeare","3","","Lec","TR","1500-1615","SYN ","Apolloni, Jessica","0","Closed",
"8748","ENGL 429","1","East-West Literary Relations","3","","Lec","TR","0930-1045","MCM 360","Apolloni, Jessica","3","Open",
"8751","ENGL 490","2","WI: Senior Seminar","3","  WI","Lec","TR","1630-1745","MCM 362","Rodden, Dan","4","Open",
"8750","ENGL 490","ON1","WI: Senior Seminar","3","  WI","Lec","MWF","1000-1050","SYN ","Emmelhainz, Nicole","4","Open",
"8753","ENGL 491","2","Internship in Writing","3","","Int","","","ARR ","Rodden, Dan","0","Closed",
"8754","ENGL 491","3","Internship in Writing","3","","Int","","","ARR ","Wright, Mary","0","Closed",
"8752","ENGL 491","ON1","Internship in Writing","3","","Int","","","SYN ","Emmelhainz, Nicole","0","Closed",
"9365","ENGL 499","1","IND ST: Film Directors","3","","Ind","","","ARR ","Nichols, John","0","Closed",
"8755","ENGL 521","1","Developing Elem Writers/Reader","3","","Lec","W","1600-1845","TRIB 2309","Connell, Cynthia","0","Closed",
"8756","ENGL 521","2","Developing Elem Writers/Reader","3","","Lec","R","1630-1915","MCM 200D","Connell, Cynthia","0","Closed",
